title,text
US Doctors Are Pumping Men  Full of FEMALE SEX HORMONES To ‘Fight Coronavirus’,"Two hospitals in the US are now experimenting on men with coronavirus by pumping them full of estrogen and progesterone to see if the female sex hormones boost their immune systems and reduce the severity of the illness. Stony Brook University in New York and Cedars-Sinai in California are giving male coronavirus patients estrogen and progesterone because doctors are wondering if the female sex hormones could make men more likely to survive the novel coronavirus. Across the world, women from most countries have been less likely to become ill with the virus, and less likely to die from it. This has led many researchers to wonder if the hormones mainly produced in women could be protective, reported The New York Times. DailyMail report: Last month, Italy’s public health research agency said that more than 70 percent of the country’s deaths have been in men. And, in February, China’s Center for Disease Control and Prevention said the fatality rate among men with coronavirus was 65 percent higher than among women.  Scientists say they don’t know why women seem less likely to die, but have suggested that women naturally tend to have stronger immune systems and are less likely to have long-term health conditions which make patients more vulnerable.  In China, researchers pointed the finger at men being more likely to smoke and drink, but this was a cultural factor which may be different in other countries.     This soon became apparent in the US. In New York, more than 60 percent of the state’s deaths have been among men. Early research has suggested the hormones may reduce the number of ACE2 receptors on the surfaces of cells that the virus uses to enter the body. The Renaissance School of Medicine at Stony Brook University in Long Island, New York will be investigating estrogen, the primary female sex hormone.  Estrogen helps develop and regulate the female reproductive system and plays a role in secondary sex characteristics. Dr Sharon Nachman, chief of the division of pediatric infectious diseases, told The Times that the trial enrolled its first participant last week. She hopes to have preliminary results in the next couple of months.   ‘It’s totally out of the box, which is how good ideas often start,’ Dr Nachman, associate dean for research at the Renaissance School, which is part of the State University of New York.  The Stony Brook University estrogen trial hopes to recruit 110 patients who visit the emergency room and have symptoms such as coughing, fever or shortness of breath. They either have to test positive for COVID-19 – the disease caused by the virus – or are presumed to have it, just as long  as they don’t need to be intubated. Half will be given an estradiol patch for one week and the other half will be a control group. Researchers will see if the hormone helps reduce the disease’s severity. The hypothesis is that the hormone could help clear the infection and prevent cytokine storms, which is when the body doesn’t just fight off the virus but also attacks its own cells and tissues, from occurring.   ‘We may not understand exactly how estrogen works, but maybe we can see how the patient does,’ Dr Nachman told The Times. ‘While we see women do get infected, their responses are different. We see fewer of them having the second, disregulated immune response.’         Next week, researchers in Los Angeles will begin testing another sex hormone found mainly in women, progesterone. It has been shown to reduce inflammation and prevent the immune system from overreacting to outside pathogens. ‘There’s a striking difference between the number of men and women in the intensive care unit, and men are clearly doing worse,’ Dr Sara Ghandehari, a pulmonologist and intensive care physician at Cedars-Sinai Medical Center, told The Times. She told the newspaper that 75 percent of her hospital’s intensive care patients and patients on ventilators are men.  Around 40 male patients will be enrolled in the Cedars-Sinai study, all of whom have tested positive for the virus and have mild to moderate cases. Half of the participants will be given two shots of progesterone per day for five days and the other half will be a control group.  Researchers will see if this help control their oxygen levels and prevent the need to go the ICU or be intubated.   Similarly to the estrogen study, the theory is that progesterone will also prevent cytokine storms. Dr Ghandedari said she has also seen that the majority of ill pregnant women, who typically high levels of both hormones, have midl case of the virus. ‘So something about being a woman is protective, and something about pregnancy is protective, and that makes us think about hormones,’ she said.  Both hospitals told The Times that all male participants will be warned of possible side effects such as hot flashes and breast tenderness.  #BidenIsOverParty: Tara Reade’s Neighbor Corroborates Sex Assault Allegation Against Joe Biden 
			 "
#BidenIsOverParty: Tara Reade’s Neighbor Corroborates Sex Assault Allegation Against Joe Biden,"A woman has come forward and corroborated claims that Joe Biden violently sexually assaulted former staffer Tara Reade in 1993.   Lynda LaCasse, a former neighbor to Reade, says she and Reade discussed the horrific sexual assault two years after it allegedly occurred, declaring: “This happened, and I know it did because I remember talking about it.” In an interview with the AP, Reade detailed a 1993 encounter she says occurred when she was asked by a manager to bring Senator Biden his gym bag, as he was on his way down to the Senate gymnasium. Reade claims Biden shoved her up against a wall in the basement, groped her, and then forcefully penetrated her with his fingers.   “He was whispering to me and trying to kiss me at the same time, and he was saying, ‘Do you want to go somewhere else?’” she said. “I remember wanting to say stop, but I don’t know if I said it out loud or if I just thought it. I was kind of frozen up.” Reade said that when she tried to pull away from Biden, he looked “shocked and surprised” and replied, “Come on, man, I heard you liked me.” In an interview with Business Insider, LaCasse said she distinctly remembers Reade being an emotional mess after the assault by Biden.  “I remember her saying, here was this person that she was working for and she idolized him,” LaCasse told the outlet. “And he kind of put her up against a wall. And he put his hand up her skirt and he put his fingers inside her. She felt like she was assaulted, and she really didn’t feel there was anything she could do.” “She was crying,” LaCasse added. “She was upset. And the more she talked about it, the more she started crying. I remember saying that she needed to file a police report.” “I don’t remember all the details,” she continued. “I remember the skirt. I remember the fingers. I remember she was devastated.” LaCasse, a Biden supporter, is the first person to corroborate Reade’s sexual assault allegation against Biden. “I personally am a Democrat, a very strong Democrat,” LaCasse confirmed. “And I’m for Biden, regardless. But still I have to come out and say this.” Related: Pelosi Endorses Biden Despite Credible Sex Assault Claims: ‘the Personification of Integrity’ Breitbart.com reports: In addition to LaCasse, Lorraine Sanchez, a former legislative staffer to California State Senator Jack O’Connell, told Business Insider that Reade lamented about being “sexually harassed by her former boss while she was in DC.” “What I do remember,” Sanchez explained “is reassuring her that nothing like that would ever happen to her here in our office, that she was in a safe place, free from any sexual harassment.” Sanchez recounts that Reade was talking about Biden. Sanchez lauded Reade’s resolve to speak out about her allegation, telling Business Insider: “It takes great courage and strength to come forward.” “It’s much easier to keep silent. However, I also understand the duty we have as women to share our story regardless of who the perpetrator may be,” she added. Sanchez reportedly worked with Reade between 1994 and 1996. The development comes after fresh evidence supporting Reade’s assault claim resurfaced Friday. A video segment, dug up by NewsBusters, appears to show Reade’s mother talking about her daughter’s “problems” with a “prominent senator” on CNN’s Larry King Live in 1993. #BREAKING: HERE is the video from August 11,1993's 'Larry King Live' described by @TheIntercept (and Tara Reade) as allegedly featuring her mother calling in and alluding to Reade's sexual assault claims against @JoeBiden (blog here by @ScottJW) https://t.co/fCgEqBnX7n pic.twitter.com/V5FGHskv56 “I’m wondering what a staffer would do besides go to the press in Washington? My daughter has just left there, after working for a prominent senator, and could not get through with her problems at all, and the only thing she could have done was go to the press, and she chose not to do it out of respect for him,” the caller who Reade identifies as her mother is heard saying. The call was first reported by The Intercept. Kate Bedingfield, Biden’s deputy campaign manager, issued a statement earlier this month denying the allegation. “Vice President Biden has dedicated his public life to changing the culture and the laws around violence against women. He authored and fought for the passage and reauthorization of the landmark Violence Against Women Act. He firmly believes that women have a right to be heard — and heard respectfully. Such claims should also be diligently reviewed by an independent press. What is clear about this claim: it is untrue. This absolutely did not happen,” said Bedingfield. Biden has yet to personally respond to the allegation. USA Will NOT Participate in W.H.O. Vaccine Project US Doctors Are Pumping Men  Full of FEMALE SEX HORMONES To ‘Fight Coronavirus’ 
			 "
USA Will NOT Participate in W.H.O. Vaccine Project,"The USA will not participate in a World Health Organization effort to develop a vaccine to combat the Chinese coronavirus.  A spokesman for the US mission confirmed that “there will be no US official participation” in the programme. “We look forward to learning more about this initiative in support of international cooperation to develop a vaccine for Covid-19 as soon as possible,” the spokesman said. The withdrawal from the W.H.O. program follows President Trump’s announcement that the US government would halt funding to the corrupt organization for “covering up” the coronavirus outbreak from China.  The move to develop a worldwide vaccine was launched by globalists French President Emmanuel Macron and German Chancellor Angela Merkel on Friday. Macron, an outspoken critic of President Trump, said he hopes to “reconcile around this joint initiative both China and the US, because this is about saying the fight against Covid-19 is a common human good and there should be no division in order to win this battle.” The group has vowed to provide vaccine to countries across the planet and make ‘global’ decisions about how to best treat the coronavirus outbreak. Independent.co.uk reports: The US is suspending $400m in funds for WHO after the president claimed that the organisation took China’s claims about the virus “at face value” and now must be “held accountable”. WHO general-director Tedros Adhanom Ghebreyesys said last week that “now is the time for us to be united against a common struggle” in his rebuke of the president’s claims. He said: “When we’re divided, the virus exploits the cracks between us.” The director-general had previously criticised the president for politicising the virus, saying that “now is not the time for pointing fingers”. Howard Stern: Trump Supporters Should Take Disinfectant and ‘Drop Dead’ #BidenIsOverParty: Tara Reade’s Neighbor Corroborates Sex Assault Allegation Against Joe Biden 
			 "
Howard Stern: Trump Supporters Should Take Disinfectant and ‘Drop Dead’,"Sirius XM host Howard Stern has slammed President Trump and his supporters, saying they should take disinfectant and “drop dead.”  In an expletive-ridden rant, Stern said he hoped President Trump resigns over his comments about injecting disinfectants.  “Boy, oh boy, I got to tell my buddy Donald Trump, Jesus Christ resign from the presidency. Do the world a favor. You don’t want to be president. Go work at Mar-a-Lago. Have a nice rest of your life. This guy is out of his f-cking mind. I don’t know what Donald is doing. I mean, when he holds a press conference, it’s like you go oh f-ck.” “I don’t know what to say what’s going on with Donald. I mean, these statements are idiotic. Hey, I have this idea. Maybe since Clorox works on surfaces, couldn’t they just pour Clorox into your asshole,” he continued.  “I would love it if Donald would get on TV and take an injection of Clorox and let’s see if his theory works. Let him, volunteer. Or hold a big rally, say f-ck this coronavirus, with all of his followers, and let them hug each other and kiss each other and have a big, big rally.” Co-host Robin Quivers added, “A big cocktail of disinfectant.” “Yeah, and all take disinfectant and all drop dead,” Stern responded. “It’s an embarrassment. And then the bigger embarrassment is the insult to my intelligence were he goes ‘I was being sarcastic.’ There was no sarcasm. And if he was being sarcastic, that is even worse people are dying. This us no time for sarcasm.” Pelosi Endorses Biden Despite Credible Sex Assault Claims: ‘the Personification of Integrity’ USA Will NOT Participate in W.H.O. Vaccine Project 
			 "
Pelosi Endorses Biden Despite Credible Sex Assault Claims: ‘the Personification of Integrity’,"Nancy Pelosi has officially endorsed Joe Biden, despite the emergence of  credible evidence that he sexually assaulted a former staffer in 1993. The House Speaker praised Biden on Monday, calling him “a leader who is the personification of hope and courage, values, authenticity, and integrity,” as the presumptive Democrat nominee faces a violent sexual assault allegation from his former Senate staffer, Tara Reade. In a prerecorded video shared Monday on social media, Pelosi hailed Biden as a “voice of reason” with the necessary experience to help enact legislation like that Obama administration’s 2009 stimulus program. WATCH: JUST IN: House Speaker Nancy Pelosi endorses Joe Biden for President of the United States, calling him ""a leader who is the personification of hope and courage, values, authenticity, and integrity."" https://t.co/SXmHLD1FQG pic.twitter.com/A1KOrGyTPt “I am proud to endorse Joe Biden for president of the United States because he will be an extraordinary president,” Pelosi told viewers. “He knows how to get the job done.” “When our nation faced the Great Recession, it was Joe Biden who led the implementation – and the accountability – of the Recovery Act, helping create and save millions of jobs. When the Democratic Congress was passing the Affordable Care Act, Joe Biden was a partner for progress in the White House and also championed the Cancer Moonshot.” Breitbart.com reports: Pelosi’s endorsement follows former President Barack Obama, who waited until Biden all but wrapped up the nomination to announce his support for his former vice president. The House Speaker’s endorsement also comes as new evidence supporting Reade’s assault claim has resurfaced. A 1993 video, dug up by NewsBusters, appears to show Reade’s mother discussing her daughter’s “problems” with a “prominent senator” on CNN’s Larry King Live. #BREAKING: HERE is the video from August 11,1993's 'Larry King Live' described by @TheIntercept (and Tara Reade) as allegedly featuring her mother calling in and alluding to Reade's sexual assault claims against @JoeBiden (blog here by @ScottJW) https://t.co/fCgEqBnX7n pic.twitter.com/V5FGHskv56 “I’m wondering what a staffer would do besides go to the press in Washington? My daughter has just left there, after working for a prominent senator, and could not get through with her problems at all, and the only thing she could have done was go to the press, and she chose not to do it out of respect for him,” a woman whom Reade identifies as her mother is heard saying. The call was first reported by The Intercept. The Biden campaign denies Reade’s allegations. In an interview with the AP, she detailed a 1993 encounter that she says occurred when she was asked by a supervisor to bring Biden his gym bag, as he was on his way down to the Senate gymnasium. She says Biden pushed her against a wall in the basement of a Capitol Hill office building, groped her, and penetrated her with his fingers. “He was whispering to me and trying to kiss me at the same time, and he was saying, ‘Do you want to go somewhere else?’” she said. “I remember wanting to say stop, but I don’t know if I said it out loud or if I just thought it. I was kind of frozen up.” Reade said that she pulled away and Biden looked “shocked and surprised,” and replied, “Come on, man, I heard you liked me.” Reade, who was a staff assistant in Biden’s office at the time, said she wasn’t aware of any direct witnesses to the encounter. She told the AP she did raise accusations of sexual harassment, but not assault, against Biden in multiple meetings with her supervisors, including Marianne Baker, Biden’s executive assistant; Dennis Toner, Biden’s deputy chief of staff; and Ted Kaufman, the senator’s chief of staff. In a statement provided by the campaign, Baker said that in the nearly two decades she worked for Biden, “I never once witnessed, or heard of, or received, any reports of inappropriate conduct, period — not from Ms. Reade, not from anyone.” Gov. Gretchen Whitmer Sought Biden’s ‘Counsel’ on Coronavirus Response Howard Stern: Trump Supporters Should Take Disinfectant and ‘Drop Dead’ 
			 "
Gov. Gretchen Whitmer Sought Biden’s ‘Counsel’ on Coronavirus Response,"Michigan Gov. Gretchen Whitmer has admitted that she has sought Joe Biden’s “counsel” about how to deal with the coronavirus response. In an interview with Politico on Monday, Whitmer said that she spoke with Biden on how to effectively communicate her state’s lockdown measures to the public.  “I’ve had a good relationship with the vice president,” Whitmer told Anna Palmer and Jake Sherman. “He came and helped me a bit when I was running for governor. We’re cut from a similar cloth.” “He’s regularly checking in with me about what’s going on here in Michigan, and what do we need. I’ve gotten some counsel from him in terms of, you know, just trying to communicate to people what we’re confronting, the seriousness of it,” Whitmer admitted. WATCH: Breitbart.com reports: The Detroit News reported on April 21st that Whitmer had retained the services of Chris Meagher, who most recently served as press secretary for Pete Buttigieg’s failed presidential campaign. “We decided to bring Chris on as a temporary (1099) employee to assist us with national press and work with MDHHS on messaging,” Whitmer spokeswoman Tiny Brown told the paper. “He’s not a full-time state employee at this time and doesn’t have a title.” Brown said Meagher would be helping Whitmer for “at least another few weeks.” NASA Warns Of Two ‘Potentially Hazardous’ Asteroids Heading This Way In May Pelosi Endorses Biden Despite Credible Sex Assault Claims: ‘the Personification of Integrity’ 
			 "
NASA Warns Of Two ‘Potentially Hazardous’ Asteroids Heading This Way In May,"NASA is warning about not one but two potentially hazardous asteroids due to come our way next month.   There is already a mountain-sized asteroid currently zooming in Earth’s direction.  The gigantic space rock called 1998 OR2, is set to have its closest flyby of our planet in at  least a century when it safely passes Earth at a distance of 6.3  million kilometers (around four million miles) on April 29.    And after that relatively close encounter we can  look forward to two Apollo-class asteroids in the following weeks.   RT reports: Of the pair expected in May, the first is the Potentially Hazardous Asteroid (PHA) 2009 XO.  Estimates
 based on how much light it reflects indicate the space rock is most 
likely the size of a football field, and traveling at a speed of 
45,720kph (28,409mph). The rocky object orbits the Sun every 926 
days and is a member of the Apollo-class of asteroids whose orbits cross
 that of Earth’s, thus giving the experts responsible for planetary 
defense at NASA something to constantly worry about.   Thankfully,
 2009 XO is due to pass our planet at a distance of about 3.3 million 
kilometers on May 7 – which is still considered ‘close’ by NASA’s 
standards.  Providing it doesn’t break up before then, the space  rock is due to make a dozen near-Earth flybys in the next 200 years, the  closest of which will take place on May 7, 2096, when it will come  within 1.5 million kilometers of Earth (for comparison, the Moon sits  384,400 km away).  Lest anyone get too comfy in the near term, however, 2009 XO will be  followed two weeks later by Asteroid 136795 (1997 BQ), which is roughly  twice the size of the Burj Khalifa, the world’s tallest building.  This
 behemoth is also an Apollo-class asteroid and orbits the Sun every 844 
days. Traveling at a comparatively paltry 42,048kph, it’s expected to 
fly past the Earth on May 21 at a distance of 6.2 million kilometers. WHO Chief Says The world Should Have ‘Listened Carefully’ To The Agency’s Coronavirus Warnings In January Gov. Gretchen Whitmer Sought Biden’s ‘Counsel’ on Coronavirus Response 
			 "
WHO Chief Says The world Should Have ‘Listened Carefully’ To The Agency’s Coronavirus Warnings In January,"The World Health Organizaions director general has criticised the world for ‘not listening carefully’  to the agency’s warnings about the coronavirus back in January. Tedros Adhanom Ghebreyesus said the UN agency had sounded the highest level of  alarm over Covid-19 at the end of January, but not all countries  heeded its advice.  “On January 30 we declared the highest level of global emergency on  Covid-19….. During that time, as you may remember, there were only 82  cases outside China. No cases in Latin America or Africa, only 10 cases  in Europe. No cases in the rest of the world. So the world should have  listened to the WHO then carefully,” the WHO chief said at a virtual press briefing on Monday.  RT reorts: He added that the countries which followed the WHO’s advice – by  extensively testing their populations and implementing contact-tracing  technologies – are “in a better position than others,” but that the WHO only operates in an advisory capacity and cannot mandate governments to follow its recommendations. However, even as the WHO declared the coronavirus outbreak a “Public Health Emergency of International Concern”
 on January 30, critics were already arguing that the declaration was 
too late and didn’t convey the seriousness of the looming pandemic. 
Moreover, Tedros’ organization assured the public less than two weeks 
earlier that the virus couldn’t pass from person to person, and even as 
infections soared in late January and early February, the WHO insisted 
that travel bans – particularly those affecting China – were “ineffective” and promoted “stigma.” On
 the world stage, US President Donald Trump has been one of the loudest 
critics of the WHO. Trump has accused the organization of “severely mismanaging and covering up the spread of coronavirus” and made the decision to withdraw US funds indefinitely.  Trump’s response has also been criticized, however. Though he 
implemented a partial China travel ban on January 31, Trump’s opponents 
say he repeatedly ignored briefings from the intelligence community about the scale of the outbreak, telling the public even in late February that “the coronavirus is very much under control in the USA.” Trump has also been slammed for his government’s delay in rolling out the “millions” of tests promised in early March. Of
 course, his is not the only administration criticized for its 
coronavirus blunders. In the UK, Prime Minister Boris Johnson has been 
flayed in the media for his initial dismissal of the threat. The UK 
lagged behind its European neighbors in shutting down businesses and 
amenities, while Johnson himself insisted on shaking hands long after 
leaders around the world advised against the practice. The British 
government at one point mulled a “herd immunity” strategy, which would have seen the population exposed en masse to the virus. Accused Rapist Released From Jail By Gov. Cuomo Due To Covid-19 Fears Caught Raping Woman Days Later NASA Warns Of Two ‘Potentially Hazardous’ Asteroids Heading This Way In May 
			 "
Accused Rapist Released From Jail By Gov. Cuomo Due To Covid-19 Fears Caught Raping Woman Days Later,"An accused rapist released from Riker’s Island in New York City to protect him from the coronavirus has been arrested for allegedly raping a woman in Brooklyn just days later his release. Robert Pondexter had been detained in jail on rape charges when he was released after Democrat Gov. Andrew Cuomo ordered state prisons to release thousands of inmates due to the coronavirus. Just days later, as reported by the New York Post, Pondexter was walking on a sidewalk when he allegedly forced a 58-year-old woman into a school parking lot.  Breitbart report: Pondexter, according to law enforcement, allegedly made the woman perform oral sex on him, choked her, and attempted to rape her. The woman was eventually able to kick Pondexter off of her. The attack occurred just 10 days after Pondexter had been released from Riker’s Island under Cuomo’s directives. Now, Pondexter has been charged with rape, sexual abuse, and criminal possession of crack cocaine. RELATED: NYC Felon Released From Prison By Gov. Cuomo Due To Covid-19 Fears Caught Robbing Elderly Disabled Man The Brooklyn District Attorney’s office told News 12 that Pondexter’s “parole hold was lifted and he was released after it was revealed in court that his case was going to be dismissed because the victims were not cooperative,” explaining his release from Riker’s Island 10 days before the alleged rape. As of April 20, New York City had released more than 1,500 inmates from prisons due to the coronavirus even as some crime, such as car theft, has skyrocketed in the midst of Cuomo’s statewide stay-at-home orders.  Illegal Alien Arrested for Decapitating a Cat and Parading the Severed Head on Stick WHO Chief Says The world Should Have ‘Listened Carefully’ To The Agency’s Coronavirus Warnings In January 
			 "
Illegal Alien Arrested for Decapitating a Cat and Parading the Severed Head on Stick,"An illegal alien in Clearwater, Florida has been arrested for allegedly beheading his family’s cat and then displaying the severed head on a post in his backyard “to show what he is capable of.“ Joshua Daniel Pena-Cedillo, a 22-year-old illegal alien, was arrested last week by the Clearwater Police Department after officials said he allegedly beheaded his family’s cat, named Cinnamon, with an axe. According to police, Pena-Cedillo first attempted to strangle the cat. After failing to kill the cat, he used a plastic bag to suffocate the cat. When that also failed, police said Pena-Cedillo used an axe to decapitate the cat. Police said Pena-Cedillo took the cat’s severed head and placed it on a post in his garden.  The illegal alien allegedly told police he beheaded the cat to “show what he was capable of to someone he was living with.” Breitbart report Pena-Cedillo is being heled without bail in the Pinellas County Jail after being charged with animal cruelty. The Immigration and Customs Enforcement (ICE) has requested that Pena-Cedillo be turned over to them for arrest and deportation should he be released. Rob Reiner: Trump Is ‘Mentally Ill’ and Obama Must Intervene To ‘Stop This Insanity’ Accused Rapist Released From Jail By Gov. Cuomo Due To Covid-19 Fears Caught Raping Woman Days Later 
			 "
